"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "JSON", "XML", "CSS", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\pages\employees\index.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 9, 88
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\pages\login\index.tsx", "TypeScript JSX", 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 20, 197
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\pages\myCompany\index.tsx", "TypeScript JSX", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 2, 13, 93
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\pages\projects\index.tsx", "TypeScript JSX", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 12, 150
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\services\CategoryService.tsx", "TypeScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 8, 24, 139
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\services\CompanyService.tsx", "TypeScript JSX", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 8, 29, 158
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\services\ProjectService.tsx", "TypeScript JSX", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 32, 31, 195
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\services\UserService.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 11, 55
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\Companies.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 11, 93
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\EmployeeList.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 7, 47
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\Footer.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\Header.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 15, 118
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 17, 128
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\LoginPopUp.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 14, 119
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\MyCompany.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 10, 86
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\Project.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 17, 138
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\ProjectForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 9, 72
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\ProjectList.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 7, 47
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 14, 108
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\types\index.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\front-end\utils\authUtils.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\package-lock.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 63, 2180, 43, 1686, 10, 8642, 2, 851, 74, 94, 579, 939, 15163
